,0
feature1359,48.0
feature1360,26.0
feature1361,18.0
feature1362,149.0
feature1363,6.0
feature1364,3.0
feature1365,2.0
feature1366,4.0
feature1367,187.0
feature1368,11.0
feature1369,4.0
feature1370,6.0
feature1371,4.0
feature1372,7.0
feature1373,3.0
feature1374,89.0
feature1375,5.0
feature1376,9.0
feature1377,4.0
feature1378,2.0
feature1379,3.0
feature1380,3.0
feature1381,2.0
feature1382,4.0
feature1383,10.0
feature1384,10.0
feature1385,24.0
feature1386,6.0
feature1387,16.0
feature1388,4.0
feature1389,5.0
feature1390,2.0
feature1391,3.0
feature1392,4.0
feature1393,2.0
feature1394,3.0
feature1395,21.0
feature1396,5.0
feature1397,3.0
feature1398,4.0
feature1399,446.0
feature1400,22.0
feature1401,40.0
feature1402,3.0
feature1403,2.0
feature1404,2.0
feature1405,12.0
feature1406,3.0
feature1407,33.0
feature1408,213.0
feature1409,3.0
feature1410,14.0
feature1411,59.0
feature1412,10.0
feature1413,14.0
feature1414,6.0
feature1415,26.0
feature1416,6.0
feature1417,4.0
feature1418,6.0
feature1419,3.0
feature1420,3.0
feature1421,4.0
feature1422,2.0
feature1423,4.0
feature1424,23.0
feature1425,11.0
feature1426,2.0
feature1427,188.0
feature1428,15.0
feature1429,19.0
feature1430,104.0
feature1431,2.0
feature1432,14.0
feature1433,6.0
feature1434,3.0
feature1435,50.0
feature1436,6.0
feature1437,4.0
feature1438,3.0
feature1439,3.0
feature1440,5.0
feature1441,5.0
feature1442,4.0
feature1443,8.0
feature1444,2.0
feature1445,98.0
feature1446,2.0
feature1447,111.0
feature1448,4.0
feature1449,4.0
feature1450,4.0
feature1451,12.0
feature1452,152.0
feature1453,41.0
feature1454,22.0
feature1455,3.0
feature1456,38.0
feature1457,10.0
feature1458,3.0
feature1459,5.0
feature1460,22.0
feature1461,7.0
feature1462,4.0
feature1463,42.0
feature1464,2.0
feature1465,38.0
feature1466,5.0
feature1467,14.0
feature1468,4.0
feature1469,5.0
feature1470,2.0
feature1471,9.0
feature1472,10.0
feature1473,13.0
feature1474,36.0
feature1475,37.0
feature1476,7.0
feature1477,5.0
feature1478,14.0
feature1479,1544.0
feature1480,3.0
feature1481,3.0
feature1482,699.0
feature1483,9.0
feature1484,4.0
feature1485,4.0
feature1486,23.0
feature1487,9.0
feature1488,7.0
feature1489,3.0
feature1490,8.0
feature1491,3.0
feature1492,2.0
feature1493,2.0
feature1494,72.0
feature1495,4.0
feature1496,19.0
feature1497,4.0
feature1498,4.0
feature1499,6.0
feature1500,236.0
feature1501,4.0
feature1502,12.0
feature1503,2.0
feature1504,15.0
feature1505,9.0
feature1506,26.0
feature1507,9.0
feature1508,18.0
feature1509,113.0
feature1510,4.0
feature1511,6.0
feature1512,9.0
feature1513,11.0
feature1514,9.0
feature1515,4.0
feature1516,5.0
feature1517,6.0
feature1518,2.0
feature1519,5.0
feature1520,2.0
feature1521,5.0
feature1522,146.0
feature1523,27.0
feature1524,4.0
feature1525,28.0
feature1526,19.0
feature1527,6.0
feature1528,6.0
feature1529,98.0
feature1530,34.0
feature1531,7.0
feature1532,4.0
feature1533,11.0
feature1534,29.0
feature1535,9.0
feature1536,2.0
feature1537,5.0
feature1538,11.0
feature1539,4.0
feature1540,66.0
feature1541,4.0
feature1542,13.0
feature1543,10.0
feature1544,426.0
feature1545,50.0
feature1546,36.0
feature1547,2.0
feature1548,8.0
feature1549,8.0
feature1550,5.0
feature1551,235.0
feature1552,12.0
feature1553,5.0
feature1554,96.0
feature1555,2.0
feature1556,4.0
feature1557,4.0
feature1558,66.0
feature1559,615.0
feature1560,14.0
feature1561,16.0
feature1562,12.0
feature1563,4.0
feature1564,14.0
feature1565,7.0
feature1566,5.0
feature1567,8.0
feature1568,6.0
feature1569,16.0
feature1570,3.0
feature1571,2.0
feature1572,14.0
feature1573,4.0
feature1574,5.0
feature1575,34.0
feature1576,127.0
feature1577,5.0
feature1578,769.0
feature1579,7.0
feature1580,3.0
feature1581,36.0
feature1582,649.0
feature1583,3.0
feature1584,3.0
feature1585,8.0
feature1586,11.0
feature1587,5.0
feature1588,54.0
feature1589,16.0
feature1590,308.0
feature1591,4.0
feature1592,177.0
feature1593,14.0
feature1594,2.0
feature1595,4.0
feature1596,22.0
feature1597,59.0
feature1598,9.0
feature1599,3.0
feature1600,11.0
feature1601,8.0
feature1602,11.0
feature1603,21.0
feature1604,3.0
feature1605,3.0
feature1606,3.0
feature1607,42.0
feature1608,4.0
feature1609,802.0
feature1610,84.0
feature1611,239.0
feature1612,3.0
feature1613,60.0
feature1614,5.0
feature1615,8.0
feature1616,3.0
feature1617,236.0
feature1618,2.0
feature1619,8.0
feature1620,2.0
feature1621,2.0
feature1622,3.0
feature1623,284.0
feature1624,94.0
feature1625,2.0
feature1626,2.0
feature1627,2.0
feature1628,21.0
feature1629,8.0
feature1630,3.0
feature1631,27.0
feature1632,5.0
feature1633,8.0
feature1634,10.0
feature1635,4.0
feature1636,2.0
feature1637,8.0
feature1638,4.0
feature1639,3.0
feature1640,7.0
feature1641,6.0
feature1642,41.0
feature1643,2.0
feature1644,34.0
feature1645,5.0
feature1646,4.0
feature1647,9.0
feature1648,3.0
feature1649,13.0
feature1650,4.0
feature1651,2.0
feature1652,2.0
feature1653,129.0
feature1654,3.0
feature1655,17.0
feature1656,4.0
feature1657,20.0
feature1658,78.0
feature1659,5.0
feature1660,6.0
feature1661,4.0
feature1662,2.0
